BHK,project,Location,City,Total sqft,price_sqft,price in Lakh
3,SHREE KRISHNA SangamChembur,Chembur,Mumbai,984,31000,305
2,Ekdanta 24 KaratKurla,Kurla,Mumbai,598,23913,142
2,Liberty Bay VueMalad West,Malad West,Mumbai,738,21000,154
3,Thalia Vrindavan FloraRasayani,Rasayani,Mumbai,644,10676,68.75
2,Mayfair The ViewVikhroli,Vikhroli,Mumbai,582,24914,145
2,Puraniks City Sector 1Neral,Neral,Mumbai,427,5756,24.58
3,Jewel CrestMahim,Mahim,Mumbai,1130,42477,480
2,Aplite Greenstone HeritageFort,Fort,Mumbai,671,40536,272
3,Mahaavir PrideDombivali,Dombivali,Mumbai,917,10359,95
1,VBHC 47 Rowland ParkPalghar,Palghar,Mumbai,701,3894,27.3
1,Lalani Velentine Apartment 1 Wing DMalad East,Malad East,Mumbai,387,22800,88.23
1,A Plus Golden VanVangani,Vangani,Mumbai,417,2578,10.75
1,Lashkaria PearlJogeshwari West,Jogeshwari West,Mumbai,333,22522,74.99
2,Royal PristoMalad East,Malad East,Mumbai,638,22414,143
1,Hirani Nehru Nagar Shree Ganesh Krupa CHS Ltd Bldg No 120Kurla,Kurla,Mumbai,425,21591,91.55
2,Nrose Northern HillsDahisar,Dahisar,Mumbai,623,21669,135
2,BG Shirke Parijat Hill ViewBorivali East,Borivali East,Mumbai,501,22355,112
2,S Square Rudraksh Heritage Wing A And Wing BMulund West,Mulund West,Mumbai,771,28664,221
3,Arihant Clan Aalishan Phase 1Kharghar,Kharghar,Mumbai,938,15258,143
1,Shantee Sunshine Green ParkVasai,Vasai,Mumbai,287,7459,21.41
3,Paradise Sai World EmpireKharghar,Kharghar,Mumbai,2215,11422,253
3,Sanghvi InfeniaSantacruz East,Santacruz East,Mumbai,778,41773,324
3,RKR Precious ImperialAmbernath East,Ambernath East,Mumbai,821,5392,44.26
1,Om GM Thakur CityPalghar,Palghar,Mumbai,565,3292,18.6
1,Royal HeritageVangani,Vangani,Mumbai,395,4306,17.01
1,Sai Shree Sai WoodsPalghar,Palghar,Mumbai,590,3000,17.7
1,Shreedham SplendourAndheri West,Andheri West,Mumbai,230,25852,59.46
1,Gold Plaza Rangari HeightsMazagaon,Mazagaon,Mumbai,425,36705,156
1,V K LAL VKLAL VISHNU PHASE IDahisar,Dahisar,Mumbai,396,16498,65.33
2,Unimont AurumKarjat,Karjat,Mumbai,755,4304,32.5
2,Neelkanth Valley IIKhopoli,Khopoli,Mumbai,428,7827,33.49
1,KP KrishnaGoregaon East,Goregaon East,Mumbai,485,29007,140
1,Jindal AvenuePanvel,Panvel,Mumbai,261,17433,45.5
1,Kalyan ViharKalyan West,Kalyan West,Mumbai,477,8071,38.49
2,Arihant Arihant EnclaveAndheri East,Andheri East,Mumbai,655,29312,191
1,Bombay CastleDronagiri,Dronagiri,Mumbai,428,8294,35.5
2,Shakuntala Shree Puram TownshipUmroli,Umroli,Mumbai,950,2500,23.75
1,Viva VedantaVirar,Virar,Mumbai,527,8595,45.3
1,Parijas ZenithKalyan East,Kalyan East,Mumbai,500,8800,44
1,Sai Shrushti VatikaThane West,Thane West,Mumbai,409,7372,30.15
2,Qualitas La LuxuriaShahapur,Shahapur,Mumbai,653,5895,38.49
1,Vardhan HeightsChembur,Chembur,Mumbai,320,21844,69.9
3,Riddhi Siddhi ImperialTaloja,Taloja,Mumbai,928,6573,61
1,Kiran Mansarovar ResidencyDombivali,Dombivali,Mumbai,410,9268,38
1,Sudarshan Sudarshan Lands EndMalad West,Malad West,Mumbai,469,19190,90
1,Sai Buildcon Lake View HeightsVasai,Vasai,Mumbai,575,4782,27.5
1,Anant ResidencyPanvel,Panvel,Mumbai,263,7034,18.49
1,Space Eternia Space Karjat,Karjat,Mumbai,427,5929,25.31
1,Vaastu AdarshUlwe,Ulwe,Mumbai,590,7627,45
1,NA,Badlapur East,Mumbai,525,4380,23
1,Sadguru NakshtraTitwala,Titwala,Mumbai,442,6674,29.5
1,Nexus ParkDiva,Diva,Mumbai,715,5523,39.49
2,Tajjodin Taj RegencyKamothe,Kamothe,Mumbai,628,14331,90
2,Raymond Raymond Realty TenX HabitatThane West,Thane West,Mumbai,515,23300,120
4,Shree Krupa Nandanvan Homes Building BThane West,Thane West,Mumbai,1300,19538,254
1,Dev Drashti Empire Phase 1Bhiwandi,Bhiwandi,Mumbai,740,5200,38.48
1,Sri Garden Avenue KVirar,Virar,Mumbai,445,7674,34.14
1,Roswalt RayDahisar,Dahisar,Mumbai,410,21708,89
1,Labdhi GardensNeral,Neral,Mumbai,321,6199,19.89
2,Konark Zen GardensKandivali West,Kandivali West,Mumbai,644,31677,2.04
2,Avant HillwayMalad East,Malad East,Mumbai,670,22500,150
2,Siddhivinayak AnayaDronagiri,Dronagiri,Mumbai,650,8923,57.99
3,Kalpataru WoodsvillePowai,Powai,Mumbai,1239,38461,476
2,The Goyal Dinaco Darshan CHSLDahisar,Dahisar,Mumbai,542,21500,116
2,Luv Concept RiversideTaloja,Taloja,Mumbai,585,7265,42.5
